,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Duty
4646,47.0,68.0,66.0,58.0,60.0,48.0,48.0,63.0,68.0,52.0,47.0,65.0,75.0,73.0,57.0,71.0,38.0,68.0,59.0,79.0,71.0,54.0,65.0,65.0,68.0,75.0,69.0,70.0,11.0,8.0,16.0,9.0,9.0,1
4647,57.0,53.0,72.0,54.0,68.0,66.0,58.0,70.0,70.0,77.0,79.0,71.0,72.0,75.0,61.0,52.0,89.0,64.0,50.0,60.0,71.0,64.0,69.0,58.0,75.0,43.0,70.0,69.0,13.0,14.0,7.0,14.0,13.0,2
4648,38.0,57.0,66.0,44.0,68.0,59.0,55.0,61.0,65.0,81.0,83.0,75.0,70.0,63.0,61.0,67.0,76.0,70.0,49.0,69.0,66.0,62.0,59.0,44.0,64.0,68.0,71.0,69.0,10.0,11.0,14.0,12.0,16.0,1
4649,73.0,55.0,70.0,64.0,75.0,65.0,49.0,55.0,70.0,64.0,71.0,47.0,67.0,48.0,75.0,39.0,69.0,85.0,62.0,45.0,20.0,73.0,69.0,61.0,75.0,25.0,23.0,20.0,8.0,16.0,11.0,13.0,6.0,3
4650,70.0,65.0,70.0,57.0,72.0,68.0,52.0,66.0,73.0,70.0,73.0,66.0,66.0,47.0,74.0,58.0,65.0,75.0,66.0,67.0,53.0,66.0,71.0,48.0,70.0,61.0,60.0,59.0,7.0,12.0,9.0,14.0,7.0,2
4651,61.0,60.0,70.0,56.0,70.0,73.0,72.0,71.0,73.0,76.0,78.0,78.0,71.0,78.0,70.0,70.0,78.0,59.0,68.0,68.0,61.0,68.0,67.0,52.0,61.0,59.0,70.0,69.0,9.0,15.0,11.0,9.0,9.0,1
4652,59.0,59.0,77.0,60.0,76.0,78.0,74.0,76.0,76.0,73.0,64.0,77.0,73.0,79.0,76.0,66.0,69.0,52.0,70.0,67.0,70.0,69.0,78.0,59.0,67.0,68.0,70.0,66.0,15.0,11.0,13.0,11.0,11.0,1
4653,64.0,43.0,65.0,64.0,73.0,70.0,67.0,57.0,69.0,91.0,86.0,90.0,66.0,94.0,75.0,91.0,68.0,66.0,61.0,35.0,26.0,69.0,69.0,67.0,70.0,30.0,33.0,31.0,7.0,13.0,11.0,13.0,9.0,2
4654,40.0,51.0,74.0,49.0,70.0,60.0,45.0,67.0,73.0,76.0,70.0,72.0,70.0,77.0,65.0,56.0,74.0,55.0,56.0,74.0,70.0,59.0,64.0,48.0,61.0,68.0,70.0,69.0,6.0,12.0,9.0,6.0,7.0,2
4655,34.0,75.0,70.0,48.0,42.0,52.0,52.0,73.0,51.0,66.0,46.0,53.0,68.0,63.0,50.0,75.0,71.0,70.0,40.0,65.0,72.0,60.0,67.0,54.0,66.0,72.0,72.0,73.0,11.0,11.0,15.0,11.0,13.0,1
4656,48.0,71.0,75.0,35.0,59.0,56.0,67.0,73.0,65.0,57.0,61.0,61.0,61.0,41.0,74.0,62.0,70.0,78.0,73.0,71.0,71.0,54.0,61.0,76.0,51.0,68.0,72.0,74.0,6.0,6.0,7.0,14.0,15.0,2
4657,23.0,48.0,65.0,25.0,45.0,39.0,39.0,42.0,58.0,68.0,78.0,66.0,69.0,52.0,25.0,84.0,82.0,79.0,17.0,78.0,70.0,48.0,44.0,40.0,64.0,72.0,73.0,75.0,9.0,10.0,13.0,11.0,12.0,1
4658,12.0,11.0,36.0,7.0,11.0,9.0,11.0,20.0,20.0,43.0,43.0,34.0,68.0,44.0,12.0,54.0,34.0,56.0,11.0,22.0,20.0,14.0,55.0,12.0,54.0,13.0,11.0,9.0,69.0,74.0,65.0,69.0,72.0,0
4659,56.0,48.0,67.0,54.0,73.0,72.0,42.0,59.0,72.0,80.0,81.0,76.0,70.0,72.0,66.0,50.0,73.0,60.0,56.0,39.0,25.0,64.0,65.0,63.0,63.0,38.0,31.0,34.0,16.0,15.0,18.0,13.0,10.0,2
4660,40.0,68.0,71.0,35.0,59.0,38.0,52.0,69.0,67.0,68.0,57.0,69.0,69.0,71.0,61.0,66.0,81.0,70.0,67.0,77.0,69.0,56.0,68.0,50.0,57.0,65.0,71.0,64.0,14.0,14.0,11.0,9.0,10.0,2
4661,48.0,60.0,72.0,57.0,67.0,69.0,68.0,69.0,74.0,69.0,71.0,69.0,67.0,65.0,74.0,68.0,82.0,65.0,63.0,72.0,70.0,57.0,72.0,55.0,68.0,69.0,72.0,68.0,8.0,9.0,11.0,14.0,9.0,2
4662,45.0,66.0,65.0,44.0,62.0,65.0,45.0,60.0,64.0,62.0,65.0,67.0,72.0,59.0,61.0,87.0,76.0,71.0,60.0,71.0,71.0,58.0,59.0,51.0,65.0,68.0,73.0,72.0,13.0,14.0,14.0,14.0,12.0,1
4663,71.0,67.0,66.0,55.0,66.0,53.0,34.0,56.0,68.0,68.0,71.0,76.0,70.0,65.0,73.0,75.0,75.0,83.0,68.0,61.0,15.0,74.0,57.0,65.0,70.0,30.0,12.0,11.0,5.0,11.0,8.0,13.0,12.0,3
4664,36.0,68.0,68.0,53.0,42.0,37.0,33.0,59.0,60.0,38.0,47.0,51.0,62.0,53.0,60.0,70.0,74.0,78.0,49.0,75.0,69.0,50.0,57.0,58.0,61.0,70.0,74.0,69.0,13.0,12.0,13.0,10.0,8.0,1
